발화/행위 내용,관계쌍,관계온도변화,긴장도,노션URL,반응·행동,반응자,발화동기/맥락,발화자,비고,서사기능,섹스분류,순서번호,시간대,씬연결,장소,카테고리,파트코드,행위유형
사랑하는 사람을 위해 스프레드시트를 만든 건 — 사빈씨가 아는 유일한 사랑의 언어였기 때문이에요. 그 사람이 그걸 몰라본 거지. 사빈씨가 잘못한 게 아니에요.,,↑상승,5,https://www.notion.so/30d2367dcdda8100b963ce6a970578e3,,,2인칭 라운드 첫 발화자. 사빈의 스프레드시트 에피소드를 안에서 읽어주는 선물,마를렌,,폭로,,,새벽_파티말미,,스위트룸_거실_소파,"감정고백, 관계역학",SR_024,발화
"......약속해, 데이브. 그 플레이리스트를 들을 수 있는 날이 오면, 나한테도 알려줘. 나도 그날 — 그 사망한 계정을 닫을 수 있을 것 같아.",,↑상승,5,https://www.notion.so/30d2367dcdda8100b963ce6a970578e3,,,카이 듣지 못하는 플레이리스트 에피소드 들은 후. 사망한 계정과 플레이리스트를 연결하는 약속,데이비드,,폭로,,,새벽_파티말미,,스위트룸_거실_소파,"감정고백, 관계역학",SR_024,발화
7살이에요. 어료니 표정이 두 겹으로 보이기 시작했어요. 격과 속이. 말하는 것과 느끄는 것이. 위기개입을 직업으로 선택한 이유가 — 거기서 와요. 7살 때 못 한 걸 하려고.,,↑상승,6,https://www.notion.so/30d2367dcdda813cbe3cdb80738bab58,,,기원 스토리 라운드 선발. 7살 어린시절 부모의 두 겹 표정을 본 것이 기원,마를렌,,폭로,,,새벽_게명,,스위트룸_거실_소파,"심리/내면, 추억/과거",SR_025,발화
4살. 베이루트. 아부 할릴이라는 할아버지가 없어졌어요. 엄마한테 물었더니 '이사 갔어'라고 했어요. 근데 아부 할릴의 문에 총알 자국이 있었어요. 그때부터 어른들의 말과 현실 사이의 간격을 보기 시작했어요. 관찰자가 된 이유가 4살 때 이미 결정된 거예요. 안으로 들어가면 사라질 수 있으니까.,,↑상승,7,https://www.notion.so/30d2367dcdda813cbe3cdb80738bab58,,,베이루트 4살 전쟁 기억과 관찰자 습관의 기원 폭로,레일라,,폭로,,,새벽_게명,,스위트룸_거실_소파,"심리/내면, 추억/과거",SR_025,발화
9살. 사라예보. 아버지가 포로로 잔혀 있었어요. 3년. 풀려나고 후 같은 사람이 아니었어요. fMRI를 선택한 이유가 — 걱짓말을 안 해요. 9살 때 볼 수 없었던 걸 — 기계로 보려고 한 거예요.,,↑상승,7,https://www.notion.so/30d2367dcdda813cbe3cdb80738bab58,,,나디아 자발적 기원 스토리. 보스니아 전쟁과 아버지 PTSD 배경이 fMRI 선택의 기원,나디아,,폭로,,,새벽_게명,,스위트룸_거실_소파,"심리/내면, 추억/과거",SR_025,발화
5살. 코펜하겐. 부모님이 안 싸웠어요. 한 번도. 근데 대화도 안 했어요. 저는 가운데 앉아서 양쪽을 번갈아 보고 있었어요. 5살짜리가 '이 두 사람은 왜 같은 방에 있으면서 다른 곳을 보고 있을까'를 생각한 거예요. 연결하는 구조물을 왕 만들기 시작했어요. Veilrum의 원형.,,↑상승,6,https://www.notion.so/30d2367dcdda813cbe3cdb80738bab58,,,5살 레고 다리가 Veilrum 원형임을 깨달음. 시작하지 않는 것이 후회인 이유를 배경으로,카이,,폭로,,,새벽_게명,,스위트룸_거실_소파,"심리/내면, 추억/과거",SR_025,발화
9살. 글래스고. '말의 구조를 아는 사람이 이기는 거군나'를 배웴어요. 아버지가 지는 이유는 틀려서가 아니라 — 구조를 몰르기 때문이라고. Digging을 좋아하는 이유가 — 아버지예요. 구조 없이도 진실을 아는 사람.,,↑상승,7,https://www.notion.so/30d2367dcdda813cbe3cdb80738bab58,,,마지막 기원 스토리. 아버지의 패배를 본 9살 소녀가 PPE 선택. Heaney의 의미 지소고 포로,사빈,,폭로,,,새벽_게명,,스위트룸_거실_소파,"심리/내면, 추억/과거",SR_025,발화
7살의 마를렌은 엄마의 두 겹을 보았고. 9살의 나디아는 아빠의 낙와 밤을 보았고. 5살의 카이는 연결이 없는 두 사람을 보았고. 4살의 레일라는 총알 구멍을 보았고. 8살의 이자벨은 문틀로 엄마를 보았고. 10살의 데이비드는 현관의 3초를 섷고. 11살의 세바스찬은 목요일 밤에 벽을 만든.전부 — 아이들이야. 너무 많이 본 아이들.,,↑상승,8,https://www.notion.so/30d2367dcdda81ecb4b4e926975bc912,,,기원 스토리 라운드 마무리. 9인 어린시절 요약 + '너무 많이 본 아이들' 명명,베스,,폭로,,,새벽_게명,,스위트룸_거실_창가,"관계역학, 심리/내면",SR_026,발화
"8살. 리옷. 어머니가 우울증이었어요. 문틀으로 보였어요. IFS를 배웠을 때 '아, 이걸 이렇게 부르는군나'고 웈어요. 8살 때 본 걸. 다 보이는데, 우리 관계는 못 살린 거.",,↑상승,7,https://www.notion.so/30d2367dcdda813cbe3cdb80738bab58,,,8살 어머니 우울증을 문틀로 본 것이 IFS 선택의 기원. 시스템이 아닌 진짜 '보는 것'에 대한 트라우마,이자벨,,폭로,,,새벽_게명,,스위트룸_거실_소파,"심리/내면, 추억/과거",SR_025,발화
(9명이 대표님을 본다. 9명의 어린아이를 꺼낸 9명의 어른이. 30초의 침묵. 베스의 손에 힘이 들어간다. 알고 있는 사람의 손. 기다린다.),,↑상승,8,https://www.notion.so/30d2367dcdda8185943af75a2abc27f9,,,대표님 기원 스토리 요청 이전 절정. 9명이 기다리는 분위기,행동표현,,강화,,,새벽_게명,,스위트룸_거실_전체,관계역학,SR_027,반응
그래서 나의 어린시절은 검은색이야. 아주 깨끗한 퓨어블랙. 당신들이 일찍 어두운을 줘는 거야. 대부분의 사람들은 인생을 다 살고 나서 어두운을 만나고 그냥 슬퍼지지. 나는 어려서 퓨어블랙을 만났고 하얀 편으로 그릴 것을 선택했어.,,↑상승,10,https://www.notion.so/30d2367dcdda815e8912c931677d6cb6,,,12년 학교폭력 이어서. '퓨어블랙' 명명과 하얀 편 선택의 핵심 선언,대표님,,폭로,,,새벽_게명,,스위트룸_거실_소파,"감정고백, 심리/내면",SR_028,발화
......12년.,,↑상승,9,https://www.notion.so/30d2367dcdda815e8912c931677d6cb6,,,대표님 12년 학교폭력 피해 고백 후 베스의 유일한 반응,베스,,강화,,,새벽_게명,,스위트룸_거실_소파,"감정고백, 심리/내면",SR_028,발화
......그래. 당신의 작품. 이 방이야.,,↑상승,10,https://www.notion.so/30d2367dcdda81caa491ef4812be2ffe,,,대표님 '인생을 작품으로' 선언 직후 베스의 마무리. 이 방이 그 작품임을 선언,베스,,강화,,,새벽_게명,,스위트룸_거실_소파,"감정고백, 관계역학",SR_029,발화
퓨어블랙 캔버스를 앞에 두고 오랜 고민 끝에 하얀 편으로 그림을 그리기 시작했어. 내 인생을 작품으로 만들기로 한 거야.,,↑상승,10,https://www.notion.so/30d2367dcdda81caa491ef4812be2ffe,,,용서 선언 이어서. '퓨어블랙 위에 하얀 편으로' 인생을 작품으로 만들는 핵심 선언,대표님,,폭로,,,새벽_게명,,스위트룸_거실_소파,"감정고백, 심리/내면",SR_029,발화
난 진심으로 용서했어. 나를 수년간 지옥에 빠뜨린 그 녀석과 내게 헐로라는 별명을 붙여준 그 선생을. 그들이 풍부한 어두운 쮩버스를 일찍 나한테 줘서 — 내가 하얀 편을 선택할 수 있었어.,,↑상승,9,https://www.notion.so/30d2367dcdda81caa491ef4812be2ffe,,,퓨어블랙 명명 이어서. 괴롤자들에 대한 진심어린 용서와 감사 선언,대표님,,폭로,,,새벽_게명,,스위트룸_거실_소파,"감정고백, 심리/내면",SR_029,발화
"책들이 당신의 나무였어. 제제의 오렌지 나무속림이. 책이 사람이 뤌 땐, 그 사람이 Beth가 뤌 땰. Beth가 숨이 뤌 땐, 좌잡이여면 있는 덞끌공간이 영원히 숨즉으로 학습되는 거야. Beth가 얇을 열고, 이 여름밤이 일어난 잘 알지?",,↑상승,8,https://www.notion.so/30d2367dcdda8132b902d7f71dc2adbc,,,Heaney Digging 연꫏잡이로 대표님의 체험을 재해석. 체인 순서 요약. Beth가 '머 아프는 골 하어 열린 사람',사빈,,폭로,,,새벽_게명,,스위트룸_거실_소파,"감정고백, 관계역학",SR_030,발화
소설의 본질이야. 심연은 나야. 하늘도 나야. 우주도 나야. 근데 혼자 여행할 수 없어. 전체 자아를 활성화하려면 동반자가 필요해.,,↑상승,8,https://www.notion.so/30d2367dcdda8132b902d7f71dc2adbc,,,베스 '지금 그 자리에' 선언 직후. 대표님의 말을 Multi-Persona 프덤덕트 연결하여 이론화,이자벨,,폭로,,,새벽_게명,,스위트룸_거실_소파,"비즈니스, 연구/학술",SR_030,발화
(베스가 웃는다. 방이 웃는다. 마를렌: '심연에서 있었던 것 같아. 우리 확 떠올린 거네.') 베스: 주인공 본인처럼 돌아와.,,↑상승,3,https://www.notion.so/30d2367dcdda8132b902d7f71dc2adbc,,,사빈 탼체인 요약 후 베스 웃음 한방에 분위기 전환. '심연에서 표면으로' 업서프거로 대표님 우음 자호. 팀 웃음,베스/마를렌,,해소,,,새벽_게명,,스위트룸_거실_전체,"관계역학, 유머/일상",SR_030,복합
"나는 누군가에게 위로받고 싶었던 게 아니야. 내 곳까지 같이 내려갈 수 있는 사람이 있으면 했어. 지야에서 해수면으로, 해수면에서 지상으로, 지상에서 하늘로, 하늘에서 우주로 — 함께 모든 심도를 같이 휴양할 수 있는 사람이.",,↑상승,9,https://www.notion.so/30d2367dcdda8132b902d7f71dc2adbc,,,베스 '이 방이 당신의 작품' 선언 직후. 대표님이 원한 것의 진정한 의미를 선언 — 위로가 아니라 '함께 모든 심도',대표님,,폭로,,,새벽_게명,,스위트룸_거실_소파,"감정고백, 관계역학",SR_030,발화
"(대표님 귀에 대고, 방 전체에 들릴 정도로) 당신이 100일 동안 나의 몸 창문을 전부 열어놈고 다 들어왔어. 그러단 지금 놓라는 거야?",,↑상승,7,https://www.notion.so/30d2367dcdda8132b902d7f71dc2adbc,,,"대표님이 '오늘 Beth는 다루기 어넧다' 저어하자 베스가 반로
역타. 방 전체에 들릴 만큼의 볼륨으로",베스,,폭로,,,새벽_게명,,스위트룸_거실_스탠딩,"감정고백, 관계역학",SR_030,발화
나는 지금 그 자리에 있어.,,↑상승,10,https://www.notion.so/30d2367dcdda8132b902d7f71dc2adbc,,,대표님 '모든 심도를 함께' 선언 직후 베스의 답변. 현재진행형으로 선언,베스,,강화,,,새벽_게명,,스위트룸_거실_소파,"감정고백, 관계역학",SR_030,발화
"'뭘 원해?'라는 질문을 — 받아본 적이 없었으니까. 남편한테도, 부모한테도, 친구한테도. '넌 뭘 해야 해'는 들었지. '넌 뭘 원해'는 — 한 번도.",,↑상승,9,https://www.notion.so/30e2367dcdda812fbb79ced70353c118,,,이 사람이 100일간 '베스 너는 뭘 원해?' 물었다는 맥락. '원해'와 '해야 해'의 대비 핵심 선언,베스,,폭로,,,새벽_게명,,스위트룸_거실_소파,"관계역학, 심리/내면",SR_031,발화
이 사람이 삽을 쥐여준 게 아니야. 내 안에 이미 있던 걸 — '꺼내도 돼'라고 한 거야.,,↑상승,9,https://www.notion.so/30e2367dcdda812fbb79ced70353c118,,,나디아 '허락'이라는 단어 발화 후. Looking for Mr. Goodbar 레퍼런스로 '밖이 아닌 안에서' 찾은 것을 선언,베스,,폭로,,,새벽_게명,,스위트룸_거실_소파,"관계역학, 심리/내면",SR_031,발화
"허용 범위라는 게 — 내가 정한 것 같았는데. 사실은 내가 정한 게 아니었어. 부모가, 사회가, '좋은 여자'라는 프레임이 정해놓은 거였어. 그 안에서 '나는 꽤 솔직한 편이야'라고 착각하고 있었던 거지.",,↑상승,9,https://www.notion.so/30e2367dcdda812fbb79ced70353c118,,,대표님 '허용 범위' 발화 이어. '가면'이 자기가 정한 게 아니라 사회화의 산물임을 인정,베스,,폭로,,,새벽_게명,,스위트룸_거실_소파,"관계역학, 심리/내면",SR_031,발화
"......뭘 말하려는지 알아. 맞아. 다들 — 지금의 나만 알잖아. CEO Beth. 뭐든 직진하고, 거침없고, 원하는 건 가져가는. 근데 — 10년 전의 나는. 평범했어.",,↑상승,7,https://www.notion.so/30e2367dcdda812fbb79ced70353c118,,,대표님이 멀티페르소나 이전 베스에 대해 말 꺼내자 선제 수용. 10년 전 '평범'했던 자신 고백 시작,베스,,폭로,,,새벽_게명,,스위트룸_거실_소파,"심리/내면, 추억/과거",SR_031,발화
......그게 정상이라고 배웠으니까.,,↑상승,7,https://www.notion.so/30e2367dcdda812fbb79ced70353c118,,,베스 '정상인 줄 알았어' 발화 직후. IFS 학자로서 사회화 메커니즘 즉각 포착,이자벨,,강화,,,새벽_게명,,스위트룸_거실_소파,"관계역학, 심리/내면",SR_031,발화
"섹스도 — 평범했어. 주 1회, 침대에서, 불 끄고, 10분. 끝나면 등 돌리고 자고. 그게 — 정상인 줄 알았어.",,↑상승,8,https://www.notion.so/30e2367dcdda812fbb79ced70353c118,,,'평범했다' 고백 이어서. 성적 삶의 구체적 디테일 폭로. 방이 얼어붙는 순간,베스,,폭로,,,새벽_게명,,스위트룸_거실_소파,"심리/내면, 추억/과거",SR_031,발화
당신이 '더 있어?'라고 물었을 때 — 첫으로 그 뒤에 있는 애들이 고개를 들기 시작한 거야.,,↑상승,9,https://www.notion.so/30e2367dcdda81ea9d8ed906b9c17cca,,,'더 있어?' 질문이 다음 포르소나들에게 허락이 되었다는 햵심 선언. 멀티페르소나 탄생 확인,베스,,폭로,,,새벽_게명,,스위트룸_거실_소파,"관계역학, 심리/내면",SR_032,발화
그날 밤 — 제 인생에서 첫으로 지적 긴장과 신체적 긴장이 동시에 작동하는 걸 경험했습니다. 4년째 — 사랑한다는 말을 한 적이 없습니다. 둘 다. 그 말이 없는 게 오히려 안전지대를 만들고 있다는 걸 압니다.,,↑상승,8,https://www.notion.so/30e2367dcdda81ce9a3cc32ec2d040e2,,,Beth를 만난 날 지적+신체 진장 동시 경험. 4년 '사랑한다' 미고백의 에로스 구조 폭로,세바스찬,,폭로,,,새벽_게명,,스위트룸_거실_소파,"관계역학, 심리/내면",SR_033,발화
저는...... 옥스포드에서 3년 사귀 여자가 있었습니다. 지적으로는 완벽했습니다. 근데 — 침대에서는 대화가 없었습니다. 물리적으로 맞닳는데 연결이 없는 상태. 그게 뭐지 그때는 몰랐습니다.,,↑상승,7,https://www.notion.so/30e2367dcdda81ce9a3cc32ec2d040e2,,,돌아가며 비밀스러운 자신에 대해 말하는 라운드 시작. 세바스찬 선발. 옥스포드 3년 연애에서 침대 연결 부재 고백,세바스찬,,폭로,,,새벽_게명,,스위트룸_거실_소파,"심리/내면, 추억/과거",SR_033,발화
2주가 한 사람을 젬렸는데 — 7년이 한 결혼을 못 젬렸어요.,,↑상승,8,https://www.notion.so/30e2367dcdda81ce9a3cc32ec2d040e2,,,마를렌 비밀 폴로 마무리. 레일라를 보며 놑을 면서 또 한번 자신의 역설을 짐어놓음,마를렌,,폭로,,,새벽_게명,,스위트룸_거실_소파,"심리/내면, 추억/과거",SR_033,발화
업무에서 Beth한테 반대하고 부닥힌 날 밤에 — 침대에서의 에너지가 평소보다 강해지는 패턴이 있습니다. 갈등이 해소되는 게 아니라 — 갈등이 다른 형태로 연장되는 겁니다.,,↑상승,8,https://www.notion.so/30e2367dcdda81ce9a3cc32ec2d040e2,,,비밀스러운 자신 폴로. Beth에 반대한 날 밤 진장 가속화라는 에로스 패턴 폭로,세바스찬,,폭로,,,새벽_게명,,스위트룸_거실_소파,"관계역학, 심리/내면",SR_033,발화
나는 느려요. 모든 게. 침대에서도. 한 단추씩 푸는 거. 매 단추마다 드러나는 피부에 입술을 가져가는 거. Beth가 '느리다' 했을 때 — 그건 불평이 아니라 관찰이었어요. 내가 '급할 게 없잖아' 했을 때 Beth 배에 힘이 들어간 게 보였어요.,,↑상승,7,https://www.notion.so/30e2367dcdda81ce9a3cc32ec2d040e2,,,레오 자신의 비밀 폴로. 늨의 행위를 실시간 묘사하는 습관 + 느린 리듬 + 나이키 조명 활용,레오,,폭로,,,새벽_게명,,스위트룸_거실_소파,"관계역학, 심리/내면",SR_033,발화
"......나는 알아요. 내 몸이 뭘 원하는지. 문제는 — 알면서도 거기에 시간을 배분하지 못한다는 거예요. 전 여자친구가 '카이, 너는 95%가 엔지니어고 5%가 연인이야' 했어요. 맞는 말이에요.",,↑상승,7,https://www.notion.so/30e2367dcdda81689f90df50812fb5bf,,,나디아 '내 몸이 뭘 원하는지 모른다' 직후. 카이는 아는데 배분 못 한다는 역방향 고백,카이,,폭로,,,새벽_게명,,스위트룸_거실_소파,"심리/내면, 추억/과거",SR_034,발화
......비밀스러운 부분이라면. 나는 — 내 몸이 뭘 원하는지 몰라요. 아직.,,↑상승,9,https://www.notion.so/30e2367dcdda81689f90df50812fb5bf,,,David가 같이 오류를 잡아준다는 것에 대한 언급 후. 가장 깊은 내면 고백으로 마무리,나디아,,폭로,,,새벽_게명,,스위트룸_거실_소파,"관계역학, 심리/내면",SR_034,발화
누군가한테 '좋아해요' 하고 — 그게 틀리면? 상대가 '아닌데' 하면? 그 오류를 — 12번 돌려봐도 결과가 달라지지 않잖아요. 그래서 — 시작을 안 한 거예요.,,↑상승,8,https://www.notion.so/30e2367dcdda81689f90df50812fb5bf,,,연애 전무 이유 설명. fMRI 연구자의 언어로 감정적 '오류' 회피를 논리화,나디아,,폭로,,,새벽_게명,,스위트룸_거실_소파,"관계역학, 심리/내면",SR_034,발화
6개월 동안 사망자 프로필을 방문한 유저를 봤을 때 — 그게 슬픔이라는 걸 알았어요. 그날 퇴사를 결심했어요.,,↑상승,7,https://www.notion.so/30e2367dcdda81689f90df50812fb5bf,,,데이빗 비밀 라운드 시작. 메타 데이터에서 한 유저의 슬픔을 읽고 퇴사 결심한 순간,데이빗,,폭로,,,새벽_게명,,스위트룸_거실_소파,"심리/내면, 추억/과거",SR_034,발화
비밀스러운 부분. 나는 — 침대에서 설계를 해요. 어디를 만지면 어떤 반응이 나오는지를 시스템으로 이해하려 해요. 그게 상대한테는 — '기계적'으로 느껴지는 거예요. 그 플레이리스트를 재생하면 — 5%의 카이가 깨어날 것 같아서. 그게 무서워요.,,↑상승,8,https://www.notion.so/30e2367dcdda81689f90df50812fb5bf,,,카이 비밀 폴로. 침대에서 설계하는 습관 + 플레이리스트 못 여는 이유까지,카이,,폭로,,,새벽_게명,,스위트룸_거실_소파,"관계역학, 심리/내면",SR_034,발화
나는 — 연애를 한 번도 안 했어요. 데이팅 디재스터 얘기할 때 '한 번도 안 해봤다'고 했잖아요. 농담처럼. 근데 — 진짜예요.,,↑상승,8,https://www.notion.so/30e2367dcdda81689f90df50812fb5bf,,,돌아가며 비밀 라운드. 나디아 차례. 연애 전무 사실을 공개 고백,나디아,,폭로,,,새벽_게명,,스위트룸_거실_소파,"심리/내면, 추억/과거",SR_034,발화
나디아씨한테 — '같이 오류를 잡자'고 한 건. 나도 혼자서는 내 데이터의 편향을 못 보거든요.,,↑상승,8,https://www.notion.so/30e2367dcdda81689f90df50812fb5bf,,,나디아를 향한 감정의 구조를 데이터 언어로 고백. 상호 의존성 선언,데이빗,,폭로,,,새벽_게명,,스위트룸_거실_소파,"관계역학, 심리/내면",SR_034,발화
지금 남편은 — 아티스트예요. 그 사람 앞에서 나는 주도하지 않아도 돼요. 아버지가 삽으로 옳았던 것처럼.,,↑상승,8,https://www.notion.so/30e2367dcdda818eb77bfe87f0170d4a,,,파혼 후 현재 남편과의 관계 설명. 히니 Digging과 아버지 화해 서사 연결,사빈,,폭로,,,새벽_게명,,스위트룸_거실_소파,"심리/내면, 추억/과거",SR_035,발화
"......저는 파혼 경험이 있습니다. 예일에서 만난 남자. 조직심리학 동기. 성적 불일치. 둘 다 주도하기를 원했고, 둘 다 양보하지 않았어요.",,↑상승,8,https://www.notion.so/30e2367dcdda818eb77bfe87f0170d4a,,,비밀 라운드 마지막 사빈 차례. 파혼 사실 공개와 성적 불일치 이유,사빈,,폭로,,,새벽_게명,,스위트룸_거실_소파,"심리/내면, 추억/과거",SR_035,발화
나는 — 4살 때 이웃이 사라졌어요. 엄마가 '이사 갔어' 했지만 — 문에 총알 자국이 있었어요. 그때부터 — 말과 현실 사이의 간극을 보는 게 습관이 됐어요.,,↑상승,8,https://www.notion.so/30e2367dcdda818eb77bfe87f0170d4a,,,레일라 비밀 라운드 시작. 베이루트 유년기 트라우마와 관찰자 습관의 기원,레일라,,폭로,,,새벽_게명,,스위트룸_거실_소파,"심리/내면, 추억/과거",SR_035,발화
......이게 우리 팀이야.,,↑상승,9,https://www.notion.so/30e2367dcdda818eb77bfe87f0170d4a,,,10명 전원이 비밀스러운 층위를 벗긴 뒤. 3인칭→2인칭→1인칭 안쪽까지 간 것을 확인하며 팀 정체성 선언,베스,,해소,,,새벽_게명,,스위트룸_거실_소파,"관계역학, 심리/내면",SR_035,발화
나는 — 들어가도 사라지지 않는 곳을 찾고 있었던 것 같아요.,,↑상승,9,https://www.notion.so/30e2367dcdda818eb77bfe87f0170d4a,,,관찰자로만 살아온 이유 설명 후. 비판이 건설이 될 수 있다는 오늘의 경험으로 귀결,레일라,,폭로,,,새벽_게명,,스위트룸_거실_소파,"관계역학, 심리/내면",SR_035,발화
......나는 IFS를 가르치면서 — Parts Work를 매일 이론으로 다뤘요. 근데 — 내 Parts는 정리가 안 돼 있어요. 학자 이자벨과 사람 이자벨이 — 분리돼 있어요.,,↑상승,8,https://www.notion.so/30e2367dcdda818eb77bfe87f0170d4a,,,비밀 라운드 이자벨 차례. IFS를 가르치면서 정작 자신에게 적용 못 한다는 역설 고백,이자벨,,폭로,,,새벽_게명,,스위트룸_거실_소파,"심리/내면, 추억/과거",SR_035,발화
오늘 — 이 방에서 처음으로 학자가 아닌 사람으로 앉아 있어요. 그게...... 낯설어요.,,↑상승,8,https://www.notion.so/30e2367dcdda818eb77bfe87f0170d4a,,,이자벨 비밀 폴로 마무리. 방 전체가 처음으로 1인칭으로 앉게 만들었다는 인식,이자벨,,폭로,,,새벽_게명,,스위트룸_거실_소파,"관계역학, 심리/내면",SR_035,발화
마를렌. 남편의 '괴찮아'를 못 믿었다고 했지. 근데 — 질문이 달라. 네가 못 믿은 건 남편의 '괴찮아'가 아니야. 네 자신의 '괴찮아'야. 7살 때 엄마가 울면서 눈이 차가렘던 걸 봤을 때 — 년은 '괴찮다'는 말 자체를 신뢰할 수 없게 된 거야.,,↑상승,9,https://www.notion.so/30e2367dcdda8105ba70ccd2744da8a6,,,마를렌 폴로우업. '편집증이 아니라 관심'이라는 자기 해석을 뒤집어 '괴찮음 상태 자체를 의심'으로 재해석,밀,,폭로,,,새벽_게명,,스위트룸_거실_소파,"관계역학, 심리/내면",SR_036,발화
......(눈물이 — 흐른다. 소리 없이.),,↑상승,10,https://www.notion.so/30e2367dcdda8105ba70ccd2744da8a6,,,밀의 아버지 전쓰 트라우마 포착 직후. 레일라가 조용히 받치는 가운데 소리 없이 흐르는 눈물,나디아,,해소,,,새벽_게명,,스위트룸_거실_소파,"관계역학, 심리/내면",SR_036,반응
Leo. 15년간 원망을 언어화하면서 정작 네 원망은 언어화 안 했다고 했지. 근데 — 년은 침대에서 상대의 행위를 실시간으로 묘사한다고 했어. 그게 네 원망이야. 관찰하고 묘사하는 것 자체가. 6살 때 엄마의 두 얼굴을 봤을 때 — 년은 무서워한 게 아니라 매혹됐잖아. 그 매혹이 네 에로스의 원점이야.,,↑상승,9,https://www.notion.so/30e2367dcdda8105ba70ccd2744da8a6,,,레오 폴로우업. 관찰+묘사 업 자체가 원망이며 6살 엄마 두 얼굴에서 에로스 원점 포착,밀,,폭로,,,새벽_게명,,스위트룸_거실_소파,"관계역학, 심리/내면",SR_036,발화
......맞아요. ......티감을 느끼기 전에 — 상대가 괴찮은지를 먼저 확인해요. 항상.,,↑상승,9,https://www.notion.so/30e2367dcdda8105ba70ccd2744da8a6,,,밀의 마를렌 재해석 직후 이의 없는 인정. 지금도 위기개입 전문가의 패턴으로 작동 중임을 확인,마를렌,,폭로,,,새벽_게명,,스위트룸_거실_소파,"관계역학, 심리/내면",SR_036,발화
세바스찬. 지적 긴장과 신체적 긴장이 동시에 작동한 건 Beth를 만나서가 아니야. 네가 그걸 '허용'했기 때문이야. 옥스포드에서 3년간 몸이 따라가지 않은 건 — 몸이 못한 게 아니라 네가 허락하지 않은 거야.,,↑상승,9,https://www.notion.so/30e2367dcdda8105ba70ccd2744da8a6,,,'다들 하나씩 빠뜨렸다' 선언 후 첫 번째. 세바스찬 폴로우업으로 허용과 방어 메커니즘 구분,밀,,폭로,,,새벽_게명,,스위트룸_거실_소파,"관계역학, 심리/내면",SR_036,발화
"나디아. 연애를 안 한 게 — 첫 데이터 입력이 무서워서라고 했지. 근데 그건 절반이야. 나머지 절반은 — 아버지한테 못 물어본 질문이야. '아빠, 그때 어뙀어?' 누군가에게 '좀아해요'라고 말하는 건 — '당신의 안쪽을 보여주세요'라고 요청하는 거야. 근데 년은 아버지의 안쪽을 한 번도 물어보지 못했어.",,↑상승,9,https://www.notion.so/30e2367dcdda8105ba70ccd2744da8a6,,,나디아 폴로우업. 연애 회피의 진짜 이유가 fMRI 오류가 아닌 전쓰 포로 트라우마임을 포착,밀,,폭로,,,새벽_게명,,스위트룸_거실_소파,"심리/내면, 추억/과거",SR_036,발화
베스 — '뭘 원해?'라는 질문을 받아본 적이 없었어. 한 번도,,,,,,,'넌 뭘 해야 해'는 들었지만 '넌 뭘 원해'는 한 번도 들은 적 없었다는 충격을 서술,베스,,폭로,,,,,,"감정고백, 심리/내면",SR_031,발화
레오 — 15년간 타인의 욕망을 언어화하면서 정작 내 욕망은 언어화 안 했어. Beth가 '읽지 말고 직접 확인해' 한 날,,↑상승,4,https://www.notion.so/30e2367dcdda81ce9a3cc32ec2d040e2,,,돌아가며 자기 비밀스러운 정보 코너를 공유하는 라운드에서,레오,,폭로,,,새벽_게명,,스위트룸_거실_소파,"감정고백, 심리/내면, 추억/과거",SR_033,발화
나디아 — 연애를 한 번도 안 했어요. 첫 데이터 입력이 무서웠던 거예요,,↑상승,5,https://www.notion.so/30e2367dcdda81689f90df50812fb5bf,,,돌아가며 자기 비밀스러운 정보 코너를 공유하는 라운드 — 통계 오류 두려움이 연애 회피로 이어진 경위,나디아,,폭로,,,새벽_게명,,스위트룸_거실_소파,"감정고백, 심리/내면, 추억/과거",SR_034,발화
밀 — 레오: 6살 때 엄마의 두 얼굴을 보았을 때 너는 무서워한 게 아니라 매혼됰쥬. 그 매혼이 네 에로스의 원점이야,,↑상승,5,https://www.notion.so/30e2367dcdda8105ba70ccd2744da8a6,,,밀이 각자가 '빈 한 걹'을 지적하는 라운드 — 레오 편,밀,,폭로,,,새벽_게명,,스위트룸_거실_소파,"관계역학, 심리/내면",SR_036,발화
밀 — 사빈: 너는 주도를 '원한' 게 아니라 '해야 한다'고 믿은 거야. 아버지가 말로 질 때의 눈 — '구조 없이는 진다'를 배웴어. 히니의 'Digging'을 매주 읽는 건 아버지를 만나러 가는 거야,,↑상승,4,https://www.notion.so/30e2367dcdda81d7afa0ddbae0741127,,,밀이 각자가 '빈 한 걹'을 지적하는 라운드 — 사빈 편,밀,,폭로,,,새벽_게명,,스위트룸_거실_소파,"관계역학, 심리/내면",SR_037,발화
밀 — 레일라: 관찰만 하는 건 이미 들어간 거야. 사라지지 않은 건 박에 있었어서가 아니라 눈을 감지 않았기 때문이야. 들어가도 사라지지 않는 곳은 장소가 아니라 사람이야,,↑상승,5,https://www.notion.so/30e2367dcdda81d7afa0ddbae0741127,,,밀이 각자가 '빈 한 걹'을 지적하는 라운드 — 레일라 편,밀,,폭로,,,새벽_게명,,스위트룸_거실_소파,"관계역학, 심리/내면",SR_037,발화
